movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9442106079159232,0.9094586019345244
The Iron Lady_2011,tt1007029,2,1,0.9999999910519984,0.0,0.9999999910519984,0.0,0.0,0.0,0.4264404640508324,0.8946786280229246
Adventureland_2009,tt1091722,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929876908836263
Napoleon_2023,tt13287846,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9671784801568841,0.8994625804998838
Kubo and the Two Strings_2016,tt4302938,5,1,0.9730467435524186,0.0,0.9939821882525778,0.0,0.0,0.0,0.4292893078361664,0.959610532397792
The Woman King_2022,tt8093700,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9806534096475703,0.9349515008724719
What They Had_2018,tt6662736,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.500608739273811,0.9355703535720982
"Synecdoche, New York_2008",tt0383028,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.49909284784801344,0.893561157654459
Superbad_2007,tt0829482,9,1,0.9596133067105791,0.0,0.9817474398411371,0.0,0.0,0.0,0.48361448329068785,0.8778132760178177
The Guest_2014,tt2980592,10,1,0.9384697263234625,0.0,0.9720548056890308,0.0,0.0,0.0,0.45939667223539826,0.9062827426397823
Backdraft_1991,tt0101393,11,1,0.9999999869450856,0.0,0.9999999869450856,0.0,0.0,0.0,0.4238977909490965,0.8933521600618307
Maleficent_2014,tt1587310,12,1,0.9999999812504107,0.0,0.9999999812504107,0.0,0.0,0.0,0.4273325005748049,0.8945976898046751
All the King's Men_2006,tt0405676,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40605057461396116,0.91352436452274
Nine Days_2020,tt10451852,14,1,0.7204199744532689,0.0,0.7895219013985064,0.8333333333333334,0.9674288618934515,0.8051497227768465,0.6560703591942534,0.8795755334547938
Hangin' with the Homeboys_1991,tt0101998,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9722361135696461,0.8899017081795005
Selma_2014,tt1020072,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9506349925017205,0.880120488553166
All About Eve_1950,tt0042192,17,1,0.9551127432487798,0.0,0.9711930341797204,0.0,0.0,0.0,0.47910986876584133,0.8875684249032219
Just Mercy_2019,tt4916630,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.601237268921034,0.9111380063291618
Punch-Drunk Love_2002,tt0272338,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9478528943463547,0.9114376310540754
The Batman_2022,tt1877830,20,1,1.0,0.0,1.0,0.0,0.0,0.0,0.46125225792292773,0.8892978799601949
Animal Kingdom_2010,tt1313092,21,1,0.9098555364268175,0.0,0.944272159872552,1.0,0.9610391242655383,0.0,0.503141878128034,0.904263156542125
Fantastic Mr. Fox_2009,tt0432283,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.46347746393094025,0.8835074624747232
Platoon_1986,tt0091763,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7919911944433449,0.8922193920379435
Rush_2013,tt1979320,24,1,0.9999999869450856,0.0,0.9999999869450856,0.0,0.0,0.0,0.4522370645509889,0.9193681159797509
Made in Heaven_1987,tt0093467,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9400013915015434,0.9336944354125838
Toy Story 4_2019,tt1979376,26,1,0.8579997603728039,0.7917891744652048,0.9175564707738366,0.8333333333333334,0.943090608386013,0.8389944896654787,0.0,0.9330345742435848
Denial_2016,tt4645330,27,1,0.9298133994736874,0.0,0.9821151685797463,0.0,0.0,0.0,0.8662423597917691,0.9106800969698918
The Best Exotic Marigold Hotel_2011,tt1412386,28,1,0.8872886147989723,0.8851170474466376,0.9450409498089845,0.75,0.9547398708216774,0.8764739391607718,0.0,0.9346796739121144
The Third Man_1949,tt0041959,29,1,0.9734549826431937,0.0,0.9933296369085507,0.0,0.0,0.0,0.48925987423591355,0.9512390009543112
Extract_2009,tt1225822,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9362308602499089,0.9000060085571451
Home Alone_1990,tt0099785,31,1,0.8017523983218158,0.6003672359228771,0.9076101757314992,0.0,0.0,0.0,0.6502705854540026,0.867571753208672
12 Monkeys_1995,tt0114746,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160037596031465
Monty Python and the Holy Grail_1975,tt0071853,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8901455618998917
"Planes, Trains & Automobiles_1987",tt0093748,34,1,0.9221756880060603,0.0,0.9802725230006318,0.0,0.0,0.0,0.584967132245919,0.8265972274097907
Hustlers_2019,tt5503686,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9491875793526287,0.9145962087167893
The Wolf of Wall Street_2013,tt0993846,36,1,0.9249975332890126,0.961723213755712,0.9740333407510168,0.5,0.9740333407510168,0.8677549768294417,0.0,0.902239100921766
Memory_2023,tt19864828,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43808696152904064,0.9409718781309335
Sphere_1998,tt0120184,38,1,0.9194185438469518,0.0,0.9709915355852448,1.0,0.0,0.0,0.6423672882773532,0.9120076411125329
The Descendants_2011,tt1033575,39,1,0.9999999812504107,0.0,0.9999999812504107,0.0,0.0,0.0,0.7627576733334841,0.9434969299743821
Learning to Drive_2014,tt3062976,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4861829854085376,0.8979133889270514
Gunpowder Milkshake_2021,tt8368408,41,1,1.0,0.0,1.0,1.0,0.0,0.0,0.7853509641036954,0.9253268335789178
Frank_2014,tt1605717,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8735025672942746,0.8868513389831323
The Wolverine_2013,tt1430132,43,1,0.9394295698546985,0.0,0.9847104043751385,1.0,0.0,0.0,0.5885843093074794,0.8936568809829742
Body Heat_1981,tt0082089,44,1,1.0,0.0,1.0,1.0,1.0,0.0,0.6099090870067688,0.9247262387759664
Fast & Furious_2009,tt1013752,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9748723229153405,0.8706656426049575
The Electrical Life of Louis Wain_2021,tt10687506,46,1,0.8704352555413228,0.4581461968171787,0.9378915595883425,1.0,0.9794323286524036,0.8807205880354125,0.6809369783354708,0.9441389066412768
Blade Runner_1982,tt0083658,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9695199658527696,0.8921609961730765
Scream_2022,tt11245972,48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6051664070827893,0.9199592219943755
Mirrors_2008,tt0790686,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5583251814684499,0.8657925920219913
Black Panther: Wakanda Forever_2022,tt9114286,50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9476205225478725,0.8810579079268103
Evil Dead_2013,tt1288558,51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9688117135441495,0.9130168239485572
Sugar_2008,tt0990413,52,1,0.9299653715105693,0.0,0.961368875482236,1.0,0.9625790057386262,0.0,0.4565389582830677,0.884344879084939
