movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9161051694322485
The Iron Lady_2011,tt1007029,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9303977728316695
Adventureland_2009,tt1091722,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861597385544223
Napoleon_2023,tt13287846,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885220335246473
Kubo and the Two Strings_2016,tt4302938,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9147097237713082
The Woman King_2022,tt8093700,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9197459094077494
What They Had_2018,tt6662736,7,1,0.939836106204681,0.0,0.9807353510681857,1.0,0.0,0.0,0.8942618013128594,0.9096439722959236
"Synecdoche, New York_2008",tt0383028,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8587309953344486
Superbad_2007,tt0829482,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88537362711126
The Guest_2014,tt2980592,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048061729344169
Backdraft_1991,tt0101393,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9420058146184122
Maleficent_2014,tt1587310,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833331442437153
All the King's Men_2006,tt0405676,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9242208319891358
Nine Days_2020,tt10451852,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218556250974038
Hangin' with the Homeboys_1991,tt0101998,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071239531219817
Selma_2014,tt1020072,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433096259767998
All About Eve_1950,tt0042192,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9201432347837285
Just Mercy_2019,tt4916630,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9066355575399413
