movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9232455904220065
The Iron Lady_2011,tt1007029,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9106125291268408
Adventureland_2009,tt1091722,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8890415447592012
Napoleon_2023,tt13287846,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076683242270543
Kubo and the Two Strings_2016,tt4302938,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167078552259345
The Woman King_2022,tt8093700,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986633418577542
What They Had_2018,tt6662736,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939480935843354
"Synecdoche, New York_2008",tt0383028,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8853220786266273
Superbad_2007,tt0829482,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9238839630937535
The Guest_2014,tt2980592,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9075943237858839
Backdraft_1991,tt0101393,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899312809226499
Maleficent_2014,tt1587310,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173517863945135
All the King's Men_2006,tt0405676,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9211902818066853
Nine Days_2020,tt10451852,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8996959782927817
Hangin' with the Homeboys_1991,tt0101998,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90049143589761
Selma_2014,tt1020072,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626093684581103
All About Eve_1950,tt0042192,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022432289193808
Just Mercy_2019,tt4916630,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277688805365988
Punch-Drunk Love_2002,tt0272338,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347481897876824
The Batman_2022,tt1877830,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077871167105229
Animal Kingdom_2010,tt1313092,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8880757727983969
Fantastic Mr. Fox_2009,tt0432283,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9215878510678067
Platoon_1986,tt0091763,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87663872498488
Rush_2013,tt1979320,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8864948790300025
Made in Heaven_1987,tt0093467,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9099591568161595
Toy Story 4_2019,tt1979376,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115587182473198
Denial_2016,tt4645330,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876393969950815
The Best Exotic Marigold Hotel_2011,tt1412386,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067551770623656
The Third Man_1949,tt0041959,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9309191787022161
Extract_2009,tt1225822,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751732740770555
Home Alone_1990,tt0099785,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476393155209003
12 Monkeys_1995,tt0114746,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9037205132840886
Monty Python and the Holy Grail_1975,tt0071853,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9260871602032787
"Planes, Trains & Automobiles_1987",tt0093748,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859497168177027
Hustlers_2019,tt5503686,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863149417878405
The Wolf of Wall Street_2013,tt0993846,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8639767438930661
Memory_2023,tt19864828,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218209755996084
Sphere_1998,tt0120184,38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8902015929491539
The Descendants_2011,tt1033575,39,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9197243330754259
Learning to Drive_2014,tt3062976,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8980798365413539
Gunpowder Milkshake_2021,tt8368408,41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906634277517572
Frank_2014,tt1605717,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8992862894587547
The Wolverine_2013,tt1430132,43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9040024128499434
