movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9252126088833631
The Iron Lady_2011,tt1007029,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8936595952467863
Adventureland_2009,tt1091722,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9211920886156945
Napoleon_2023,tt13287846,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9204234371878892
Kubo and the Two Strings_2016,tt4302938,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8681619296621543
The Woman King_2022,tt8093700,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077046466450541
What They Had_2018,tt6662736,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9303794451974459
"Synecdoche, New York_2008",tt0383028,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8812547733450554
Superbad_2007,tt0829482,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9193349149940475
The Guest_2014,tt2980592,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9224114362281502
Backdraft_1991,tt0101393,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9051429662260227
Maleficent_2014,tt1587310,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8883921495151105
All the King's Men_2006,tt0405676,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323017279073259
Nine Days_2020,tt10451852,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189697351308098
Hangin' with the Homeboys_1991,tt0101998,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028678060890736
Selma_2014,tt1020072,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8901433694759023
All About Eve_1950,tt0042192,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838259656388057
Just Mercy_2019,tt4916630,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8966409278292456
Punch-Drunk Love_2002,tt0272338,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916645199511136
The Batman_2022,tt1877830,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999671578762932
Animal Kingdom_2010,tt1313092,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9018401923491095
Fantastic Mr. Fox_2009,tt0432283,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656942388416347
Platoon_1986,tt0091763,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9165409892132745
Rush_2013,tt1979320,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9006662415775603
