movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.8196219533256732,0.8118619478056207,0.9125678398324875,0.7083333333333334,0.9385770902744663,0.8781202050929914,0.8926580156519247,0.9012936877463887
The Iron Lady_2011,tt1007029,2,1,0.9151205764747212,0.884048481072783,0.955499387298812,0.5833333333333334,0.9592707574397636,0.912994808065361,0.9320393947643139,0.8956854431644221
Adventureland_2009,tt1091722,3,1,0.8870028430826957,0.8496234637553254,0.9400937786274103,0.6354166666666667,0.9391719701223842,0.8828014980768021,0.9349481349723361,0.9166225298634137
Napoleon_2023,tt13287846,4,1,0.9078946435273717,0.9266595965886767,0.950784576736799,0.55,0.9678679832393214,0.9041402509172809,0.938224020466306,0.8763294872837671
Kubo and the Two Strings_2016,tt4302938,5,1,0.9028694398742022,0.9026075619596992,0.9478649283627518,0.8166666666666668,0.957869525151882,0.8875944249948108,0.9499251859334484,0.9176231287131156
The Woman King_2022,tt8093700,6,1,0.8602417779379202,0.8360305025286523,0.9360681135397559,0.625,0.9588116744127969,0.8992066603727484,0.9677361163474163,0.9109910516596089
What They Had_2018,tt6662736,7,1,0.8843741263007174,0.8594937165017418,0.9371910946456695,0.6,0.9530322537863741,0.8794366762735185,0.9517107364109841,0.9208860016348761
"Synecdoche, New York_2008",tt0383028,8,1,0.8988318873903334,0.8948983143434659,0.9565493816366998,0.9166666666666667,0.9646785233802648,0.9068697028604126,0.9525897350438498,0.9238146029000579
Superbad_2007,tt0829482,9,1,0.9051709885001313,0.9013111896739976,0.9510076882203358,0.51875,0.958517228768781,0.914073360174374,0.9145623907186733,0.8903994770056656
The Guest_2014,tt2980592,10,1,0.8821894702754075,0.8857769354745729,0.9363374480045288,0.5902777777777778,0.9493412939196567,0.9067127499708728,0.9367745694739085,0.8954682671136985
Backdraft_1991,tt0101393,11,1,0.891913375789888,0.869982805510543,0.9465485458755839,0.5833333333333334,0.9666445113324906,0.8782430484602245,0.9584243853312889,0.8952562900562026
Maleficent_2014,tt1587310,12,1,0.8495711908031278,0.9354628937287318,0.9260154763125048,0.6875,0.9457505137736943,0.8751056475661381,0.9192721459681291,0.893074343099575
All the King's Men_2006,tt0405676,13,1,0.8895515984821918,0.8611288469350753,0.9459741673706339,0.6666666666666667,0.9658563211787274,0.8914755805659275,0.96026532751381,0.929589378980322
Nine Days_2020,tt10451852,14,1,0.8888453152517207,0.9191117837275472,0.9438147579376731,0.30000000000000004,0.9456427700897277,0.8813893291386079,0.9531616901710732,0.8808960790366018
Hangin' with the Homeboys_1991,tt0101998,15,1,0.8897885524941064,0.8744300998915653,0.9378577630704359,0.525,0.9486357333990192,0.8886370006346381,0.9386219720146203,0.8904309126574961
Selma_2014,tt1020072,16,1,0.9217448876233278,0.9286201806349721,0.9537234896844416,0.7333333333333334,0.9631540523285873,0.8902466317465371,0.9558319891961597,0.8881073466455008
All About Eve_1950,tt0042192,17,1,0.8940435262979555,0.8974511451212276,0.9540414532802302,0.45,0.966543311429658,0.9110195389138189,0.95344390489888,0.8997734916442727
Just Mercy_2019,tt4916630,18,1,0.8758474016035452,0.8695123620846293,0.9410887212772201,0.8409090909090908,0.948385600733256,0.8982455278388156,0.9504308794785216,0.9430645349132377
Punch-Drunk Love_2002,tt0272338,19,1,0.8323174785135631,0.8364197995355411,0.9157303836111291,0.7055555555555556,0.9356006231338757,0.855965556931628,0.9478020620428502,0.9000288458478826
The Batman_2022,tt1877830,20,1,0.8385437447665826,0.8885811487514357,0.9168470785562541,0.5625,0.9427991725193691,0.897741874145982,0.9444802875440895,0.9003576727576852
