movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.8539803620723572,0.811376942556868,0.9414195191168653,0.25,0.9723541705178124,0.8617101152198686,0.9271176293327501,0.9156711997150352
The Iron Lady_2011,tt1007029,2,1,0.9196097038813931,0.9296168005629408,0.9644427148589466,0.5833333333333334,0.973393133575787,0.9334247423132505,0.9333137819683991,0.8994938597749946
Adventureland_2009,tt1091722,3,1,0.8209027488391071,0.8516418846057973,0.9053447368487195,0.46296296296296297,0.9101359647367477,0.8443039553042635,0.9428006577176481,0.8805413397754243
Napoleon_2023,tt13287846,4,1,0.8118169179132205,0.8495835434474547,0.9140169965094321,0.5576923076923077,0.9300468957649464,0.8648710518808255,0.9389157355266559,0.8927127563943034
Kubo and the Two Strings_2016,tt4302938,5,1,0.8535637818708179,0.8806187654154469,0.9301825152665357,0.638888888888889,0.9522466469008477,0.8755174575879935,0.946453454933296,0.9329863691466321
The Woman King_2022,tt8093700,6,1,0.8410924385829819,0.8653587412123352,0.9226286439749652,0.5833333333333334,0.9647615482255906,0.8857006785401446,0.9610288947033245,0.9106303512584064
What They Had_2018,tt6662736,7,1,0.9026311225895325,0.8959496043516284,0.9499361657922862,0.79,0.9575985093400297,0.9111434197661037,0.9547717322774751,0.895080463240569
"Synecdoche, New York_2008",tt0383028,8,1,0.8567191206210132,0.8791445581314079,0.9243718260924564,0.6648351648351648,0.946562317662423,0.8733540237770514,0.9331774050639099,0.8931444418796451
Superbad_2007,tt0829482,9,1,0.8543787629673627,0.8489056470688888,0.9265846832366453,0.7208333333333333,0.9299214438800891,0.8792420440326129,0.9538757329009043,0.8942603243051442
The Guest_2014,tt2980592,10,1,0.8320065284078575,0.8433348459190099,0.9280020969830591,0.638888888888889,0.9599223159686987,0.87816931672462,0.9424153352243678,0.9016147915942757
Backdraft_1991,tt0101393,11,1,0.861625838562984,0.8294716460051935,0.9266736086213225,0.6455026455026455,0.9430354415544524,0.8635651693127447,0.9505706598476277,0.9100334033753591
Maleficent_2014,tt1587310,12,1,0.8326911576095347,0.8165447889575835,0.9202899152503681,1.0,0.9226003463043386,0.8480055788626996,0.9373871602111667,0.8916928028406306
All the King's Men_2006,tt0405676,13,1,0.8749891284742873,0.8573908338958768,0.9285838547879726,0.8148148148148149,0.9339901451055207,0.8621674854533333,0.9655119644250265,0.9206670054611066
Nine Days_2020,tt10451852,14,1,0.8950406597850958,0.0,0.9420886475436031,0.7962962962962963,0.9546448983868876,0.899235663583275,0.9320027412422233,0.8818048326405579
Hangin' with the Homeboys_1991,tt0101998,15,1,0.8907060832611218,0.8983624301740553,0.9344099196750392,0.6,0.9510508501294961,0.8989490874516894,0.9452530078416257,0.9059365331637831
Selma_2014,tt1020072,16,1,0.8999416044705816,0.9171833145711611,0.9443998787313357,0.6666666666666666,0.9442325038892592,0.8623364926083426,0.9693060888986956,0.8913544366584505
All About Eve_1950,tt0042192,17,1,0.8529196287534715,0.835524428363896,0.9275783467228355,0.6875,0.9338897374594989,0.8645019637016618,0.9612703384257845,0.8945071113703459
Just Mercy_2019,tt4916630,18,1,0.7681359702698822,0.6943226855846224,0.8930762252595252,0.7380952380952381,0.909650884956999,0.7635661646538665,0.0,0.8921085622611267
