movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.9112313523621296,0.9328977455245189,0.9565100626372304,0.625,0.9576466635500593,0.8539652731092058,0.9405603087541111,0.9243183777066809
The Iron Lady_2011,tt1007029,2,1,0.8784188941082387,0.8452380811983722,0.9439076966982798,0.9166666666666667,0.9391405362859777,0.8308171753845238,0.9484588997293888,0.8713248839482093
Adventureland_2009,tt1091722,3,1,0.9106434026283075,0.9395349325581798,0.963691702015222,0.75,0.9702309691440065,0.8892211775370584,0.9405789389764605,0.9137843999919103
Napoleon_2023,tt13287846,4,1,0.9007560570717801,0.8990827172094173,0.9494249153717382,0.16666666666666669,0.9606857022809754,0.895980984408025,0.9384877952291203,0.8950431749016384
Kubo and the Two Strings_2016,tt4302938,5,1,0.8953644372423355,0.8907396939823652,0.9584376853450555,0.0,0.9771605680506587,0.9173268847721214,0.9416421298270237,0.9188394855305888
The Woman King_2022,tt8093700,6,1,0.9013556022323629,0.8959204567185699,0.9541560709611404,0.8,0.9645793699773977,0.915476956949982,0.9657823566823849,0.8996598029001418
What They Had_2018,tt6662736,7,1,0.9190249661167373,0.9216337212422886,0.9634970286076958,0.8333333333333334,0.9736418094629581,0.8628303314493677,0.9541520986702696,0.9041925188191975
"Synecdoche, New York_2008",tt0383028,8,1,0.8916026988391715,0.8944608677111384,0.9484853679568185,0.25,0.9521946068618071,0.8888089067134439,0.9577263610244364,0.8944847243187377
Superbad_2007,tt0829482,9,1,0.9321450481610012,0.9294021932688586,0.9653773248574872,1.0,0.9779601255184982,0.9167743373052364,0.9480439539273381,0.9297867126668212
The Guest_2014,tt2980592,10,1,0.8527934610970442,0.8625048714609901,0.9317656602803147,0.5833333333333334,0.9384586161540589,0.8304115883733191,0.9710547538599391,0.9152086512571639
Backdraft_1991,tt0101393,11,1,0.9119168568391056,0.9067401156635004,0.9644054585571382,0.0,0.9768197882870204,0.8445047801508838,0.9483806599153666,0.8966878701084428
Maleficent_2014,tt1587310,12,1,0.9325932104276669,0.9312765060282908,0.9686168590913168,0.0,0.9814630847534984,0.8897301328781049,0.9687101203302686,0.9281974020166256
