movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.9209990712188676,0.9148256005185676,0.9626852252404028,0.7222222222222223,0.9675661476166082,0.9242379497620964,0.9391345138717272,0.9241929127407781
The Iron Lady_2011,tt1007029,2,1,0.8827755660484844,0.8193912177444889,0.9461118879521856,0.375,0.9527323092234041,0.8972433051458776,0.9450436112535932,0.8867596199692206
Adventureland_2009,tt1091722,3,1,0.8014769059486173,0.795451481840585,0.9117125503835737,0.375,0.9131750373057912,0.8951583437313279,0.9510520628549871,0.8817429896969388
Napoleon_2023,tt13287846,4,1,0.9056511385133722,0.9174721834434177,0.9517609344017146,0.2833333333333333,0.9636949125637282,0.9115623022171729,0.9333285929733339,0.9145724283101367
Kubo and the Two Strings_2016,tt4302938,5,1,0.8637296403016902,0.873858599415429,0.9412253006479466,0.5,0.9648104919889183,0.8920186602357159,0.9486118411895834,0.9222384120970835
The Woman King_2022,tt8093700,6,1,0.6660155056827426,0.7336975791995051,0.8624903271741595,0.6666666666666666,0.8313066738902888,0.8810933513302907,0.9551128600353257,0.8693134959537121
What They Had_2018,tt6662736,7,1,0.7891028637622907,0.7950573005473984,0.9025414062039658,0.7,0.9100961223821225,0.8993268184587738,0.9490295357538555,0.9129170787206855
"Synecdoche, New York_2008",tt0383028,8,1,0.8819674984775152,0.8820711035142299,0.9452819881887469,0.7083333333333333,0.9491491724090566,0.8744573587529377,0.9456417404627238,0.9219423433380112
Superbad_2007,tt0829482,9,1,0.8904202973327702,0.8752209789200674,0.9447529203543733,0.5499999999999999,0.9539555998993026,0.9114368129070948,0.9501007942774619,0.8915730367892171
The Guest_2014,tt2980592,10,1,0.8673332314632475,0.8748105917787125,0.9401098920171975,0.6458333333333334,0.9587818793891701,0.8759425299137261,0.9545377115274125,0.9100223964803632
Backdraft_1991,tt0101393,11,1,0.8748150122745898,0.9086047010755847,0.939953599198142,0.6111111111111112,0.9496651147313859,0.8740206860904765,0.9321614677218075,0.9223924083459731
Maleficent_2014,tt1587310,12,1,0.9106993146184482,0.9154493998017754,0.9588611862415034,0.5,0.0,0.9242323446080802,0.9468307426497897,0.9146852778328778
