movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.9064472085149862,0.9075025580029028,0.9514665855470776,0.9166666666666667,0.9555566639591311,0.9202407500541775,0.9550192992383251,0.9106959918523249
The Iron Lady_2011,tt1007029,2,1,0.8802681011865726,0.0,0.9432934566215795,0.625,0.9440253701310128,0.9014596642697059,0.9495774489076104,0.918507767140909
Adventureland_2009,tt1091722,3,1,0.8827057885096009,0.8719951865950314,0.9333603245622529,0.5069444444444445,0.9373641849763558,0.87047853677999,0.9479075554114831,0.9298839181423091
Napoleon_2023,tt13287846,4,1,0.9088673919042566,0.9004807914194808,0.9556680574638955,0.43333333333333335,0.9573899753644597,0.9174588158722168,0.9426349144356734,0.8883205534609642
Kubo and the Two Strings_2016,tt4302938,5,1,0.8887001164087952,0.911740271868815,0.9467830074994694,0.6666666666666666,0.9641916711020535,0.9049984501460694,0.9628020641254703,0.947637958701692
The Woman King_2022,tt8093700,6,1,0.8829929686613346,0.8625083969739235,0.9417095291656153,0.6,0.9647805550996784,0.9050528979580443,0.9651614527354585,0.885723177940259
What They Had_2018,tt6662736,7,1,0.9043275999058396,0.8943775196954658,0.9466205627291876,0.6625,0.9570757233374573,0.8837561046515263,0.9572171700705675,0.9015033030788077
"Synecdoche, New York_2008",tt0383028,8,1,0.8957798791077027,0.8981527136442087,0.9424927253521365,0.7840909090909091,0.9419129821796657,0.8872664112278723,0.9412188251449629,0.9262344221465225
Superbad_2007,tt0829482,9,1,0.8782951841599844,0.8707816858768306,0.9344403621787322,0.6934523809523809,0.9381858938600759,0.891039108375646,0.9573377055964887,0.9183181727644452
The Guest_2014,tt2980592,10,1,0.8742470655974097,0.8990836934570774,0.9411892641678883,0.265625,0.9540772568679634,0.8658326334887578,0.9521056643082761,0.9273548241127224
Backdraft_1991,tt0101393,11,1,0.8911586851936186,0.9067086114663999,0.948929112430376,0.5,0.9530435534864796,0.8654510966957154,0.9596347577505687,0.9181601683282692
Maleficent_2014,tt1587310,12,1,0.7243866391869433,0.7741323173014222,0.8878458775757301,0.75,0.8915608532235195,0.7826801861822198,0.952234229720059,0.8889604916025723
