movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.8854783998022173,0.9061807779824833,0.9465312880635357,0.7333333333333334,0.9612546744003052,0.9103593356508378,0.9209885423857324,0.9402625081878979
The Iron Lady_2011,tt1007029,2,1,0.8924704300761663,0.0,0.9450542715320666,0.9375,0.9512097659931661,0.876313972012318,0.9568762763784798,0.8820215962106726
Adventureland_2009,tt1091722,3,1,0.8880893122835343,0.8760626379968559,0.9511268032712559,1.0,0.9589556075176556,0.8985695109224543,0.93423517227501,0.8856997767940559
Napoleon_2023,tt13287846,4,1,0.9121886299881715,0.0,0.9537838956067567,0.33333333333333337,0.9605730605692084,0.9035032609724999,0.9551299816389306,0.906383306320292
Kubo and the Two Strings_2016,tt4302938,5,1,0.9182643634917595,0.9260600550149205,0.961828902600956,0.75,0.975593542708102,0.9000422387913248,0.9573715206414507,0.9222268271200242
The Woman King_2022,tt8093700,6,1,0.8997753681077605,0.8616898571358277,0.9529592037544755,0.5,0.0,0.90653407020078,0.9552613675651586,0.9110842004614476
What They Had_2018,tt6662736,7,1,0.9208608161289793,0.9189210148554353,0.9563015913785701,0.5,0.9699637243833521,0.8959011945471299,0.9588162936706887,0.9224707346579567
"Synecdoche, New York_2008",tt0383028,8,1,0.9021091473250432,0.8877698607329124,0.9518741278011553,0.875,0.9628127135803047,0.8987706785132024,0.9452502032231548,0.8938007004599912
Superbad_2007,tt0829482,9,1,0.8958486535329478,0.9333946147954537,0.9563657781013268,0.25,0.9746943790612159,0.8832525262527686,0.9437117986770986,0.8984897920950845
The Guest_2014,tt2980592,10,1,0.8854011314351525,0.8954758238645455,0.9521741369613963,0.4375,0.9583467732590036,0.8691573160752335,0.9522934251042602,0.8955901577687783
Backdraft_1991,tt0101393,11,1,0.8867026565902124,0.8729580676001292,0.9510147644872894,0.5,0.9563401336878565,0.8956995444594993,0.9511361639734395,0.8998339761442045
Maleficent_2014,tt1587310,12,1,0.865935720355704,0.8441622606008449,0.9504865773516186,0.0,0.9528077714330828,0.8821495257438613,0.9593441336092301,0.886021689690533
All the King's Men_2006,tt0405676,13,1,0.8877684758006033,0.8864504924112632,0.9557658869077198,0.5,0.9603063810901105,0.8975382255489318,0.9572901749066232,0.9062314980984155
Nine Days_2020,tt10451852,14,1,0.8842787213680932,0.0,0.9475946185812748,0.5,0.942428074559462,0.9008331290131785,0.9497355751236889,0.9136478446535509
Hangin' with the Homeboys_1991,tt0101998,15,1,0.899622259570307,0.8889415616417385,0.9382529124305969,0.8125,0.9501931145192336,0.8193301686185943,0.9552747801276663,0.867687149113275
Selma_2014,tt1020072,16,1,0.9087535581594833,0.9392199182624751,0.9574580398618637,1.0,0.0,0.9034134989124024,0.9635654481242938,0.8936345829525594
All About Eve_1950,tt0042192,17,1,0.8992490062812712,0.0,0.9542964940613479,0.75,0.966287416705969,0.8954653580076105,0.9452001546908281,0.9138775086732435
Just Mercy_2019,tt4916630,18,1,0.8883697249699837,0.0,0.9470756781092204,0.75,0.0,0.9128205639817933,0.9378924679854522,0.8989895108354554
Punch-Drunk Love_2002,tt0272338,19,1,0.8969280994130107,0.8874062258759737,0.952303986641676,1.0,0.9516528773831533,0.8687474271959589,0.9587688846582468,0.9164526853901315
The Batman_2022,tt1877830,20,1,0.9176549828834262,0.9194091425637518,0.9642511686962194,0.5,0.9721546916685051,0.9168346783524618,0.9520565290027402,0.9219611553924897
Animal Kingdom_2010,tt1313092,21,1,0.8801020648276628,0.8845024708800899,0.9443414630586396,0.6111111111111112,0.9557374961767215,0.8510507610129308,0.9697675504291043,0.8766808905402007
Fantastic Mr. Fox_2009,tt0432283,22,1,0.9064067536673939,0.9155461930665529,0.9549210286847551,0.75,0.9665621696876309,0.8814712254901862,0.9659120182748464,0.9111266169353225
Platoon_1986,tt0091763,23,1,0.8935465167697418,0.8835022644430665,0.9487133922335163,0.6666666666666666,0.9601043058542561,0.9037532288136442,0.9518615978560638,0.9078742833698992
Rush_2013,tt1979320,24,1,0.8945023989451117,0.0,0.9488100575285544,0.0,0.0,0.8847999916721812,0.9546661591922625,0.889072641161743
Made in Heaven_1987,tt0093467,25,1,0.8971474029385913,0.0,0.9475750976084889,1.0,0.0,0.877751183099038,0.9559544345366752,0.9177230899085418
Toy Story 4_2019,tt1979376,26,1,0.8910755581260135,0.0,0.9506703134893925,0.375,0.9672976081352597,0.8957969134395459,0.9677792345425548,0.8935865431056943
Denial_2016,tt4645330,27,1,0.9059351450195667,0.9203238606259403,0.9569143191007041,1.0,0.9700182957800496,0.8881782705397115,0.9658773326264184,0.8912836653868339
The Best Exotic Marigold Hotel_2011,tt1412386,28,1,0.8729822311460733,0.8583356619575434,0.9379756046950843,0.25,0.9496396677489074,0.8768539055228807,0.948356226822048,0.9068393676511332
The Third Man_1949,tt0041959,29,1,0.9403743973852453,0.9496577788969085,0.9779839612108133,0.0,0.0,0.8818904210924717,0.968034424673096,0.8619438826313914
Extract_2009,tt1225822,30,1,0.8817347857011595,0.921171501789688,0.9405486752748269,0.5,0.9714248948530394,0.8778154666287169,0.9326740950753339,0.8773500285265808
Home Alone_1990,tt0099785,31,1,0.8903398459540587,0.930985588872535,0.9490943228985868,0.0,0.0,0.8680034350762557,0.935588745812706,0.8685057176097665
12 Monkeys_1995,tt0114746,32,1,0.9010296795592143,0.9022112385474139,0.9562852161837799,0.875,0.9632316491393067,0.8714648994468004,0.9421505985591571,0.907366903236136
Monty Python and the Holy Grail_1975,tt0071853,33,1,0.9083135821472739,0.8766964281024132,0.9547851762633877,0.75,0.0,0.9112241396419173,0.9308727691088402,0.9062463969994349
"Planes, Trains & Automobiles_1987",tt0093748,34,1,0.9133033204854745,0.9171723750064406,0.9589675970551832,0.75,0.9632470346357624,0.8768971835978884,0.9565825986177968,0.9253649203406621
Hustlers_2019,tt5503686,35,1,0.9001052942434722,0.9258392349162431,0.9595236862607293,0.5,0.9818231342031969,0.9066865651984384,0.9677853085537057,0.9045414118314341
The Wolf of Wall Street_2013,tt0993846,36,1,0.8567431747962774,0.0,0.9418714402786378,0.0,0.9438885198394287,0.8907180154966959,0.9673205350164169,0.9079077271835034
Memory_2023,tt19864828,37,1,0.9134392208049562,0.9057909374858516,0.9605863384836061,0.8125,0.9607185506535272,0.9014313317098299,0.957352757769807,0.900164801369031
Sphere_1998,tt0120184,38,1,0.9105184074774404,0.8991652654284007,0.9569695419198035,0.5,0.0,0.9136168860073154,0.9556942418187614,0.8705583942396137
The Descendants_2011,tt1033575,39,1,0.906120364982424,0.9124737461281418,0.9548622083276065,0.75,0.9705876761043373,0.8897195021971793,0.9711971563043217,0.8988272848887581
Learning to Drive_2014,tt3062976,40,1,0.8823871792469848,0.9001758498035408,0.9403026425550157,0.8333333333333334,0.9480933903641788,0.9024787449562502,0.9443242066094824,0.945311917675884
Gunpowder Milkshake_2021,tt8368408,41,1,0.8692717017006201,0.8430531338846321,0.942450672870075,0.5,0.9486777461528748,0.8339078455407749,0.9518219510803401,0.9185979127162073
Frank_2014,tt1605717,42,1,0.9140810490150337,0.9180864386770254,0.9595706232335607,0.75,0.9688717595780301,0.8911830957503418,0.9565932030245367,0.8722233383626478
The Wolverine_2013,tt1430132,43,1,0.917743868265744,0.9320552629265044,0.9607814741827893,0.5,0.9644798364178094,0.8936555582134701,0.9614382147015266,0.910028496363035
Body Heat_1981,tt0082089,44,1,0.9014545753509937,0.9096888445678245,0.9503661325515227,0.75,0.9563900790192463,0.870751659491579,0.9498039268326366,0.9076729628002616
Fast & Furious_2009,tt1013752,45,1,0.8900823333138342,0.8683952584118394,0.940750852461529,0.25,0.9412579353544106,0.881525912073972,0.955245827029761,0.8807719900997999
The Electrical Life of Louis Wain_2021,tt10687506,46,1,0.9100517749617575,0.0,0.9606354217660982,0.6666666666666666,0.9699915295345173,0.9033740658076689,0.9625569852399753,0.9165797849852609
Blade Runner_1982,tt0083658,47,1,0.8663714589796255,0.9069609428566028,0.9385493460702176,1.0,0.9509407018206326,0.8893816392960402,0.9347006500731876,0.8848960166438904
Scream_2022,tt11245972,48,1,0.899630597980781,0.9047188431585207,0.9493350170745991,1.0,0.0,0.880013226532399,0.9689695057415756,0.9157416091439536
Mirrors_2008,tt0790686,49,1,0.891308243920149,0.8928714879584492,0.95308944331835,1.0,0.9542489890351807,0.8689328055708666,0.9562603523274629,0.8956265506115425
Black Panther: Wakanda Forever_2022,tt9114286,50,1,0.8105035322597667,0.0,0.9137767243182976,0.0,0.0,0.8661800513474721,0.942038925786513,0.8630288945549154
Evil Dead_2013,tt1288558,51,1,0.9102521532894009,0.9183874844625783,0.9551037845783421,0.75,0.9677565897863956,0.8940148789990584,0.9650975768997659,0.9069765477217311
Sugar_2008,tt0990413,52,1,0.8907950903760765,0.9037860932761768,0.9433396240774726,0.875,0.9635124690833154,0.887547310967625,0.9342765506138644,0.8722244263813592
All the Money in the World_2017,tt5294550,53,1,0.9292528298158895,0.9288221817915859,0.9656000680587316,0.8333333333333334,0.9747274140924297,0.9232410861242744,0.9319243301426484,0.9052963327239782
Revolutionary Road_2008,tt0959337,54,1,0.9044003421361889,0.8954002413413468,0.9513430236375229,0.6333333333333333,0.9592366695546148,0.8792835063826547,0.953941228471393,0.8706978044817584
King Kong_1933,tt0024216,55,1,0.847373230614783,0.0,0.9281879404099542,0.75,0.9483073021916344,0.8395478805173159,0.9607559506838287,0.8955591291306825
Someone to Watch Over Me_1987,tt0094008,56,1,0.9050136378340918,0.9033073168287047,0.9518327183994338,0.875,0.9583486925181117,0.8831316788702042,0.963507945256199,0.9146993402607406
Heist_2001,tt0252503,57,1,0.9005317525680346,0.9060922912237344,0.9485818069280109,0.5833333333333334,0.9586479666250051,0.8988779679554616,0.9614912282115764,0.9037622300059986
Richard Jewell_2019,tt3513548,58,1,0.8992667372765794,0.909424224163796,0.9547464775539691,1.0,0.9559339119516009,0.8949813335310601,0.9706391625636825,0.9015315866238307
Anthropoid_2016,tt4190530,59,1,0.888274596490682,0.8460487527187949,0.9456649543698005,0.75,0.0,0.8723247042976691,0.9722101868075959,0.9195719117034538
So I Married an Axe Murderer_1993,tt0108174,60,1,0.8774689813851063,0.9164685078106521,0.9397189857494106,0.5,0.9426847411126136,0.8839078576527618,0.9619421037711942,0.9080241163485091
Following_1998,tt0154506,61,1,0.9213322511910441,0.0,0.9654245351097852,0.0,0.0,0.8831747503065837,0.9727755182536968,0.9279630883722554
Don't Worry Darling_2022,tt10731256,62,1,0.8782833744070018,0.8682054607474244,0.9433169521562093,1.0,0.950349531049912,0.85751430210544,0.9513117912269257,0.9003593626125815
The Lord of the Rings: The Return of the King_2003,tt0167260,63,1,0.8632506105829121,0.8766367091986913,0.9501411054877483,0.0,0.0,0.8876916986752535,0.964733714199002,0.8361349694629616
RocknRolla_2008,tt1032755,64,1,0.9212140368224397,0.9373378504260595,0.9638466218899882,0.875,0.9736854214504791,0.8987826670507432,0.9604904559500308,0.8871091546312676
Snow White and the Huntsman_2012,tt1735898,65,1,0.8856583591477831,0.8943281062476999,0.947845079180562,1.0,0.955092129826655,0.8863524324949653,0.9578254380945532,0.9213264180118081
Young Frankenstein_1974,tt0072431,66,1,0.8653532113118114,0.9027957812546835,0.9277386702255173,0.5,0.0,0.9033749753027335,0.951912271890766,0.9086585299929825
8-Bit Christmas_2021,tt11540284,67,1,0.8952593785681232,0.8864930018717458,0.9523291516682146,0.625,0.9731186914839286,0.905106492692723,0.9591877766953236,0.9055303770396558
Batman: Mask of the Phantasm_1993,tt0106364,68,1,0.8693427196172713,0.9116141226847296,0.9437588047903364,0.5,0.9689882585832863,0.8695585033745736,0.9472795104568749,0.9208483897683319
Star Wars: Episode I - The Phantom Menace_1999,tt0120915,69,1,0.8005112998665912,0.711731303870786,0.9038972196591992,0.0,0.0,0.8363900781173462,0.9281291941271392,0.8569538399580169
Constantine_2005,tt0360486,70,1,0.9107271781673184,0.8927176222402708,0.952976720988377,0.8333333333333334,0.967283215564383,0.8954426300657,0.9515025433446912,0.8546041137408089
The Italian Job_2003,tt0317740,71,1,0.8779241737166954,0.8905730305489444,0.9418678427148994,0.25,0.0,0.8496470338729633,0.9279693377798126,0.8810922907978446
The American_2010,tt1440728,72,1,0.9043783638019172,0.9005203769732253,0.9496687763934826,0.888888888888889,0.9564964204566418,0.8916123969608405,0.9583934303535879,0.8260282557308847
Bad Moms_2016,tt4651520,73,1,0.8794273738563251,0.8927991579944201,0.9402499502532741,0.8333333333333334,0.9327742384004195,0.8845777174632723,0.9691120059847429,0.9048922566032138
Loveless_2017,tt6304162,74,1,0.8192169526741324,0.8697986707200546,0.9185665009227975,0.7916666666666666,0.9578892650796718,0.890511182341749,0.9524890502954066,0.8200026781294805
Horrible Bosses_2011,tt1499658,75,1,0.8602706134149241,0.7923478618195894,0.9413135595393348,0.8333333333333334,0.9512656212261443,0.8651510734418952,0.9502706001686891,0.8977909426260056
Barton Fink_1991,tt0101410,76,1,0.9087091101637687,0.0,0.9567860357166665,0.6666666666666666,0.9610665562272828,0.8882452270101727,0.9590645445117338,0.9208222746100384
