movie_name,imdb_id,line_number,regex_parsing_successful,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,pr1_scene_similarity,pr2_event_coherence
8MM_1999,tt0134273,1,1,0.8854871417141403,0.9141728882951766,0.9467884666399513,0.9375,0.9575817687341467,0.8865034176650076,0.950914706169457,0.9304347085962777
The Iron Lady_2011,tt1007029,2,1,0.8662632544325983,0.8254270760272456,0.9320419584088823,0.8928571428571428,0.9465547839001183,0.8916771107502763,0.9583607827233961,0.9172753134177657
Adventureland_2009,tt1091722,3,1,0.6841501467981511,0.6885843664163953,0.8563509760397672,0.70625,0.8680792970136801,0.8707569230645448,0.9604767468889014,0.8992801541106442
Napoleon_2023,tt13287846,4,1,0.8043921918589327,0.8671561453689702,0.9026640965307735,0.2619047619047619,0.9286569091392541,0.8919249381891579,0.946779316884285,0.8999826626599313
Kubo and the Two Strings_2016,tt4302938,5,1,0.8168359966286811,0.9233238539147302,0.9235778253399962,0.5555555555555556,0.9415200710328637,0.8779717114031629,0.9472037830086745,0.8901271775370387
The Woman King_2022,tt8093700,6,1,0.8697467658041188,0.8353100856832815,0.9338605668440773,0.6785714285714286,0.958765253882526,0.9066551190323918,0.9621814316115525,0.8924576581895991
What They Had_2018,tt6662736,7,1,0.8630892195596118,0.8870571456838476,0.9321794402362872,0.8428571428571429,0.9444191609570581,0.8718360559991627,0.9611095982898608,0.899795977872647
"Synecdoche, New York_2008",tt0383028,8,1,0.8785100060008697,0.8732785908124591,0.9365069744612722,0.6980519480519481,0.9536197918788004,0.8729546959907378,0.9513078144413636,0.9211065429879933
Superbad_2007,tt0829482,9,1,0.8919089444147767,0.8873823203351935,0.9482856547166927,0.7083333333333334,0.9556555159259513,0.8839305289978135,0.9274828704496495,0.8687122284246525
The Guest_2014,tt2980592,10,1,0.8652442163569773,0.860301413568202,0.9309719502354733,0.65,0.9448638316290208,0.876969382933902,0.9471675798092725,0.8972509101097065
Backdraft_1991,tt0101393,11,1,0.8094448092006131,0.8470582853889793,0.9060619634873992,0.625,0.9157037159054024,0.8958773165685501,0.9470852559555999,0.9234580082828299
Maleficent_2014,tt1587310,12,1,0.8723558686359368,0.855205283471813,0.9324912648786192,1.0,0.9402049441189813,0.8931126000843129,0.9278974790125658,0.8848185792447861
